idx,name,smiles,score,mw,logp,hbd,hba,rotb,tpsa,lip_viol,veber,pains,druglike
6117,D7800,Cc1nnc(N2CCN(C(=O)Nc3cc(F)ccc3F)CC2)c2nn(-c3ccc(Cl)cc3)c(C)c12,0.8471029,497.9,4.72,1.0,6.0,3.0,79.2,0.0,True,False,True
1992,D7800,Cc1ccc(-c2cc(C(F)(F)F)n3nc(C(=O)Nc4sc5c(c4C#N)CCC(C)C5)cc3n2)cc1,0.83223003,495.5,6.03,1.0,6.0,3.0,83.1,1.0,True,False,True
6116,D7800,Cc1nnc(N2CCN(C(=O)Nc3cccc(C(F)(F)F)c3)CC2)c2nn(-c3ccccc3)c(C)c12,0.8321696,495.5,4.81,1.0,6.0,3.0,79.2,0.0,True,False,True
5700,D7800,Cc1ccc(Cl)cc1Nc1nn2c(=O)c3ccc(C(=O)NCc4ccc(F)cc4)cc3nc2s1,0.83156484,494.0,5.08,2.0,7.0,5.0,88.4,1.0,True,False,True
5846,D7800,Cc1ccc(Cl)cc1N1CCN(C(=O)c2c(C)oc3ncnc(N4CCOCC4)c23)CC1,0.8278735,455.9,3.29,0.0,7.0,3.0,74.9,0.0,True,False,True
6806,D7800,Cc1nc(-c2ccc(C)c(N3CCN(C(=O)Nc4ccccc4C(F)(F)F)CC3)c2)no1,0.8234075,445.4,4.73,1.0,5.0,3.0,74.5,0.0,True,False,True
5851,D7800,Cc1ccc(C)c(N2CCN(C(=O)c3c(C)oc4nc(C)nc(N5CCOCC5)c34)CC2)c1,0.8202599,449.6,3.26,0.0,7.0,3.0,74.9,0.0,True,False,True
1985,D7800,CCn1c(SCC(=O)Nc2ccc(Br)cc2)nc2sc3c(c2c1=O)CCN(C)C3,0.8198546,493.5,3.96,1.0,7.0,5.0,67.2,0.0,True,False,True
3697,D7800,CCc1cc2c(cc3c(=O)n(CC(=O)N4CCN(c5cc(Cl)ccc5C)CC4)nc(CC)n32)s1,0.8181671,498.1,4.15,0.0,7.0,5.0,62.9,0.0,True,False,True
6115,D7800,Cc1ccc(NC(=O)N2CCN(c3nnc(C)c4c(C)n(-c5ccccc5)nc34)CC2)cc1Cl,0.8166874,476.0,4.75,1.0,6.0,3.0,79.2,0.0,True,False,True
2529,D7800,Cc1ccc(-n2c(=O)c3c4c(sc3n(CC(=O)Nc3ccccc3C)c2=O)CCCCC4)cc1C,0.8161999,487.6,5.05,1.0,6.0,4.0,73.1,1.0,True,False,True
6218,D7800,Cc1ccc(C)c(N2CCN(C(=O)CCc3c(C)nn(-c4ccc(N5CCCC5)nn4)c3C)CC2)c1,0.81068677,487.7,3.78,0.0,7.0,6.0,70.4,0.0,True,False,True
