idx,name,smiles,score,mw,logp,hbd,hba,rotb,tpsa,lip_viol,veber,pains,druglike
5921,D7800,CCn1nnc2cc(C(=O)Nc3ccc(Br)cc3F)ccc21,0.79549825,363.2,3.61,1.0,4.0,3.0,59.8,0.0,True,False,True
1440,D7800,Cc1cc(C)c2nc(NC3=NCN(CCN4CCOCC4)CN3)nc(C)c2c1,0.7872504,383.5,1.48,2.0,8.0,4.0,77.9,0.0,True,False,True
5673,D7800,CCNc1nc(Nc2ccc(C)c(Cl)c2)c2cnn(C)c2n1,0.78587395,316.8,3.5,2.0,6.0,4.0,67.7,0.0,True,False,True
6117,D7800,Cc1nnc(N2CCN(C(=O)Nc3cc(F)ccc3F)CC2)c2nn(-c3ccc(Cl)cc3)c(C)c12,0.78493744,497.9,4.72,1.0,6.0,3.0,79.2,0.0,True,False,True
1523,D7800,CC(C)c1ccc(Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,0.7842164,384.5,2.41,1.0,8.0,5.0,75.6,0.0,True,False,True
5922,D7800,CCn1nnc2cc(C(=O)Nc3ccc(C)cc3Br)ccc21,0.7811941,359.2,3.77,1.0,4.0,3.0,59.8,0.0,True,False,True
4124,D7800,Cc1cc(C)n(-c2nc(N(C)C)nc(N3CCOCC3)n2)n1,0.78067845,303.4,0.58,0.0,8.0,3.0,72.2,0.0,True,False,True
9494,L6020,CCNc1nc(Cl)nc(NCC)n1,0.77552307,201.7,1.39,2.0,5.0,4.0,62.7,0.0,True,False,True
6225,D7800,Cc1cc(C)cc(NC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)c1,0.76695114,434.5,3.3,1.0,7.0,6.0,85.2,0.0,True,False,True
1555,D7800,CCOc1ccc(Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,0.76435655,386.5,1.69,1.0,9.0,6.0,84.9,0.0,True,False,True
1735,D7800,c1cc(C2CCCCC2)ccc1Oc1nc(N2CCOCC2)nc(N2CCOCC2)n1,0.76281977,425.5,3.38,0.0,8.0,5.0,72.8,0.0,True,False,True
7479,L6020,CN(C)c1nc(N)nc(N)n1,0.76235974,154.2,-0.9,2.0,6.0,1.0,94.0,0.0,True,False,True
5676,D7800,Cn1ncc2c(Nc3ccc(F)cc3)nc(N3CCN(c4ccc(F)cc4)CC3)nc21,0.7583757,421.5,3.71,1.0,7.0,4.0,62.1,0.0,True,False,True
6778,D7800,Cc1nn(-c2ccc3nnc(C)n3n2)c(C)c1CCC(=O)Nc1ccc(OC(F)(F)F)cc1,0.7551713,459.4,3.71,1.0,8.0,6.0,99.2,0.0,True,False,True
7318,D7800,Cc1ccc(-n2ncc3c(NCCCN4CCOCC4)ncnc32)c(C)c1,0.7542829,366.5,2.57,1.0,7.0,6.0,68.1,0.0,True,False,True
6116,D7800,Cc1nnc(N2CCN(C(=O)Nc3cccc(C(F)(F)F)c3)CC2)c2nn(-c3ccccc3)c(C)c12,0.75310075,495.5,4.81,1.0,6.0,3.0,79.2,0.0,True,False,True
6853,D7800,CC1=C(C(=O)Nc2cccnc2)C(c2cccnc2)n2ncnc2N1,0.75295895,333.4,2.0,2.0,7.0,3.0,97.6,0.0,True,False,True
5918,D7800,CCn1nnc2cc(C(=O)Nc3cccc(Cl)c3)ccc21,0.75205207,300.7,3.36,1.0,4.0,3.0,59.8,0.0,True,False,True
5915,D7800,Cn1nnc2cc(C(=O)Nc3ccc(Cl)cc3)ccc21,0.7493073,286.7,2.87,1.0,4.0,2.0,59.8,0.0,True,False,True
6227,D7800,Cc1cccc(NC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)c1,0.74918497,420.5,3.0,1.0,7.0,6.0,85.2,0.0,True,False,True
365,D7800,CC1=C(C(=O)Nc2ccccn2)C(c2ccc(Br)cc2)NC(=S)N1,0.7489777,403.3,3.28,3.0,3.0,3.0,66.0,0.0,True,False,True
5674,D7800,CCCNc1nc(Nc2ccc(C)c(Cl)c2)c2cnn(C)c2n1,0.748203,330.8,3.89,2.0,6.0,5.0,67.7,0.0,True,False,True
5743,D7800,Cc1ccc(NC(=O)c2ccc(CN3C(=O)CCn4nc(C)cc43)cc2)c(Cl)c1,0.7472579,408.9,4.34,1.0,4.0,4.0,67.2,0.0,True,False,True
7321,D7800,Cc1ccc(Cl)cc1-n1ncc2c(Nc3ccc4c(c3)OCCO4)ncnc21,0.7471804,393.8,4.29,1.0,7.0,3.0,74.1,0.0,True,False,True
6115,D7800,Cc1ccc(NC(=O)N2CCN(c3nnc(C)c4c(C)n(-c5ccccc5)nc34)CC2)cc1Cl,0.74570525,476.0,4.75,1.0,6.0,3.0,79.2,0.0,True,False,True
6226,D7800,Cc1ccccc1NC(=O)CCc1c(C)nn(-c2ccc(N3CCOCC3)nn2)c1C,0.74508667,420.5,3.0,1.0,7.0,6.0,85.2,0.0,True,False,True
7333,D7800,Cc1ccc(Cl)cc1-n1ncc2c(NCc3ccc(F)cc3)ncnc21,0.7448596,367.8,4.53,1.0,5.0,4.0,55.6,0.0,True,False,True
9427,L6020,N#Cc1c(N)nc(NC2CC2)nc1N,0.74437165,190.2,0.09,3.0,6.0,2.0,113.6,0.0,True,False,True
10014,L6020,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0.7427892,488.0,3.31,3.0,9.0,7.0,106.5,0.0,True,False,True
5846,D7800,Cc1ccc(Cl)cc1N1CCN(C(=O)c2c(C)oc3ncnc(N4CCOCC4)c23)CC1,0.74276555,455.9,3.29,0.0,7.0,3.0,74.9,0.0,True,False,True
4458,D7800,Cc1ccc(-n2nc(C)c3c(C(F)(F)F)cc(-c4cccnc4)nc32)cc1C,0.7421177,382.4,5.43,0.0,4.0,2.0,43.6,1.0,True,False,True
5675,D7800,Cn1ncc2c(Nc3ccc(F)cc3)nc(NCc3ccccc3)nc21,0.74210703,348.4,3.86,2.0,6.0,5.0,67.7,0.0,True,False,True
3215,D7800,Cc1nc2c(-c3ccc(F)cc3)c(C)nn2c(C)c1CCC(=O)Nc1ccc(F)cc1F,0.74120915,438.5,5.31,1.0,4.0,5.0,59.3,1.0,True,False,True
7327,D7800,Cc1ccc(-n2ncc3c(N4CCN(C)CC4)ncnc32)cc1C,0.7390052,322.4,2.18,0.0,6.0,2.0,50.1,0.0,True,False,True
1056,D7800,Cc1ccc(Nc2nc(N)nc(CSC(=S)N3CCOCC3)n2)c(C)c1,0.73867,390.5,2.66,2.0,8.0,4.0,89.2,0.0,True,False,True
7127,L6020,Cn1cc2cc(C(F)(F)c3nnc4ccc(-c5cnn(C6CC6)c5)nn34)c(F)cc2n1,0.7372018,424.4,3.49,0.0,8.0,4.0,78.7,0.0,True,False,True
17049,L6020,CC(O)C12OC3=CC4=C(CC(=O)OC4(C)C)C(CO)=C4CC5(C)C(=O)OC(O1)C5C2C34C,0.7367793,444.5,1.86,2.0,8.0,2.0,111.5,0.0,True,False,True
6011,L6020,O=C1OC(=O)C2C3CCC(O3)C12,0.73657477,168.1,-0.14,0.0,4.0,0.0,52.6,0.0,True,False,True
7331,D7800,Cc1ccc(-n2ncc3c(N4CCN(C)CC4)ncnc32)cc1Cl,0.73515236,342.8,2.53,0.0,6.0,2.0,50.1,0.0,True,False,True
14367,L6020,CC1(C)OC(=O)C=C2C1=CC1OC(=O)C34COC5(C)C(=O)C6(C)CC(C2(C)OC63C5=O)C14C,0.7342297,454.5,1.6,0.0,8.0,0.0,105.2,0.0,True,False,True
5787,D7800,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)Nc3ccc(F)cc3)cc12,0.7340503,393.5,4.08,2.0,4.0,3.0,60.5,0.0,True,False,True
7301,D7800,CC(=O)Nc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3-c2ccc(C)c(Cl)c2)cc1,0.7337796,468.0,6.75,2.0,5.0,5.0,71.8,1.0,True,False,True
7406,L6020,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.7316755,446.9,4.28,1.0,7.0,8.0,68.7,0.0,True,False,True
9675,L6020,CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],0.7290083,291.7,1.02,0.0,5.0,3.0,84.1,0.0,True,False,True
8117,D7800,Cc1nnc2ccc(N3CCOCC3)nn12,0.72889835,219.2,0.27,0.0,6.0,1.0,55.5,0.0,True,False,True
2120,D7800,CCN1CCN(c2cc(C)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3n2)CC1,0.72859687,442.5,4.96,1.0,4.0,4.0,48.5,0.0,True,False,True
12592,L6020,NC(=O)C1=CC2C3C=CC2C(OC3=O)O1,0.72828346,207.2,-0.31,1.0,4.0,1.0,78.6,0.0,True,False,True
15379,L6020,C=C1C2(C)CC3C4(C)OC(C5OC56C4=CC(=O)OC6(C)C)C3(C)C13C(=O)OC(C)C3(O)C2=O,0.7281947,456.5,1.39,1.0,8.0,0.0,111.7,0.0,True,False,True
7332,D7800,Cc1ccc(Cl)cc1-n1ncc2c(NC3CCCCC3)ncnc21,0.7277409,341.8,4.52,1.0,5.0,3.0,55.6,0.0,True,False,True
15843,L6020,C=C(C)C(=O)OC1CC2(C)OC(=CC2=O)C(=C)CC2OC(=O)C(=C)C12,0.7270266,344.4,2.16,0.0,6.0,2.0,78.9,0.0,True,False,True
6219,D7800,Cc1nn(-c2ccc(N3CCCC3)nn2)c(C)c1CCC(=O)Nc1ccc(F)c(Cl)c1,0.7264803,442.9,4.24,1.0,6.0,6.0,75.9,0.0,True,False,True
6229,D7800,CCOc1ccc(CNC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)cc1,0.7254201,464.6,2.76,1.0,8.0,9.0,94.4,0.0,True,False,True
2215,D7800,Cc1nn(Cc2ccc(Cl)cc2)c(C)c1NC(=O)CCCn1nc([N+](=O)[O-])c(Cl)c1C,0.72536254,465.3,4.69,1.0,7.0,8.0,107.9,0.0,True,False,True
7334,D7800,CCc1ccc(Nc2ncnc3c2cnn3-c2cc(Cl)ccc2C)cc1,0.7244934,363.9,5.08,1.0,5.0,4.0,55.6,1.0,True,False,True
5851,D7800,Cc1ccc(C)c(N2CCN(C(=O)c3c(C)oc4nc(C)nc(N5CCOCC5)c34)CC2)c1,0.72397316,449.6,3.26,0.0,7.0,3.0,74.9,0.0,True,False,True
9076,L6020,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.7237658,306.3,0.74,1.0,7.0,5.0,81.6,0.0,True,False,True
7299,D7800,Cc1ccc(CNc2ncnc3c2cnn3-c2ccc(Cl)cc2)cc1,0.72366726,349.8,4.39,1.0,5.0,4.0,55.6,0.0,True,False,True
5920,D7800,CCc1ccc(NC(=O)c2ccc3c(c2)nnn3CC)cc1,0.72318405,294.4,3.27,1.0,4.0,4.0,59.8,0.0,True,False,True
13222,L6020,C=CC(C)(C)C12Nc3c(ccc4c3OC(C)(C)C=C4)C1(O)CC1C(=O)N3CCCC3C(=O)N12,0.72295177,449.6,3.0,2.0,5.0,2.0,82.1,0.0,True,False,True
3195,D7800,CCc1ccc(NC(=O)C2CCN(c3cc(C)nc4c(-c5ccc(Cl)cc5)c(C)nn34)CC2)cc1,0.7221489,488.0,6.08,1.0,5.0,5.0,62.5,1.0,True,False,True
5850,D7800,Cc1nc(N2CCOCC2)c2c(C(=O)N3CCN(c4cccc(C)c4C)CC3)c(C)oc2n1,0.7211221,449.6,3.26,0.0,7.0,3.0,74.9,0.0,True,False,True
7074,D7800,CCOC(=O)c1cnn(-c2ccc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cc2)c1N,0.720545,434.4,3.78,2.0,7.0,6.0,108.5,0.0,True,False,True
7336,D7800,CC(=O)c1ccc(N2CCN(c3ncnc4c3cnn4-c3cc(Cl)ccc3C)CC2)cc1,0.7200578,446.9,4.31,0.0,7.0,4.0,67.2,0.0,True,False,True
