idx,name,smiles,score,mw,logp,hbd,hba,rotb,tpsa,lip_viol,veber,pains,druglike
2616,L6020,COc1cccc2oc3c(O)cccc3c(=O)c12,0.28671452,242.2,2.66,1.0,4.0,1.0,59.7,0.0,True,False,True
10641,L6020,COc1cc(C=O)cc(OC)c1OC,0.23342046,196.2,1.52,0.0,4.0,4.0,44.8,0.0,True,False,True
1354,L6020,C=CC(C)(O)C/C=C/C(C)(C)O,0.39071977,170.3,1.64,2.0,2.0,4.0,40.5,0.0,True,False,True
7340,D7800,Cc1ccc(-n2ncc3c(NC(C)c4ccccc4)ncnc32)cc1,0.6717986,329.4,4.3,1.0,5.0,4.0,55.6,0.0,True,False,True
1776,D7800,Cc1cccc(OCC(=O)NCc2cc(C)nc3ccccc23)c1,0.4156383,320.4,3.55,1.0,3.0,5.0,51.2,0.0,True,False,True
2134,D7800,Cc1cccc(C(=O)Oc2c(Sc3ccccc3)c(C)nn2C(C)(C)C)c1,0.42296562,380.5,5.63,0.0,5.0,4.0,44.1,1.0,True,False,True
7370,L6020,COC(=O)c1ccc(-c2ccc(C(=O)OC)cn2)nc1,0.37928593,272.3,1.72,0.0,6.0,3.0,78.4,0.0,True,False,True
4394,D7800,COc1ccc(C(CNC(=O)COc2ccc([N+](=O)[O-])cc2)N2CCCCC2)cc1,0.40557328,413.5,3.33,1.0,6.0,9.0,93.9,0.0,True,False,True
4368,L6020,c1ccc2c(c1)C[C@H]1NCCc3cc4c(c-2c31)OCO4,0.45496267,265.3,2.83,1.0,3.0,0.0,30.5,0.0,True,False,True
5628,L6020,C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(O)[C@@H]12,0.50396097,248.3,2.36,1.0,3.0,0.0,46.5,0.0,True,False,True
3981,L6020,COC(=O)c1c(O)c2ccccc2c2occc12,0.27344966,242.2,3.08,1.0,4.0,1.0,59.7,0.0,True,False,True
12087,L6020,CC1(C)CCC[C@@]2(C)[C@H]1[C@H](O)C=C(CO)[C@]2(O)CO,0.36793205,270.4,0.84,4.0,4.0,2.0,80.9,0.0,True,False,True
7534,D7800,CCCCNC(=O)c1ccc(N2CCOCC2)c(NS(=O)(=O)c2ccc(OC)cc2)c1,0.44744277,447.6,2.86,2.0,6.0,9.0,97.0,0.0,True,False,True
4236,L6020,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]1CC(=O)[C@]1(C)[C@@H]3CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)[C@H]3O[C@@]321,0.2731161,470.5,3.14,0.0,8.0,1.0,104.6,0.0,True,False,True
13876,L6020,C=C(Oc1cccc(C(=O)O)c1)C(=O)OC,0.27739784,222.2,1.45,1.0,4.0,4.0,72.8,0.0,True,False,True
1348,D7800,Cn1c(=O)c2c(nc(NCc3cccnc3)n2Cc2ccc(Cl)cc2)n(C)c1=O,0.62387806,410.9,2.14,1.0,8.0,5.0,86.7,0.0,True,False,True
13630,L6020,CC1=C(CO)C(=O)OC([C@@H](C)C2CC[C@H]3C4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)C4CC[C@]23C)C1,0.5261755,470.6,3.35,2.0,6.0,3.0,96.4,0.0,True,False,True
18496,L6020,COc1cc(-c2oc3c(OC)c(OC)cc(OC)c3c(=O)c2OC)cc(OC)c1OC,0.2465003,432.4,3.52,0.0,9.0,8.0,94.8,0.0,True,False,True
15969,L6020,CC(CCOC(=O)CCC(=O)O)CCC1(C)C(C)CCC2(C)C1CC(O)C(O)C2(C)O,0.41496125,442.6,3.14,4.0,6.0,9.0,124.3,0.0,True,False,True
5516,D7800,COc1ccc(Br)cc1CNC(=O)CN1C(=O)c2cccnc2Oc2ccc(C)cc21,0.44127828,482.3,4.23,1.0,5.0,5.0,80.8,0.0,True,False,True
6488,L6020,CC(=O)Oc1ccc(-c2coc3cc(OC(C)=O)ccc3c2=O)cc1,0.2995938,338.3,3.31,0.0,6.0,3.0,82.8,0.0,True,False,True
16350,L6020,C=CC(C)(C)c1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@H](C)NC1=O,0.48059782,325.4,2.18,3.0,2.0,4.0,74.0,0.0,True,False,True
7151,L6020,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ncccc12)C(=O)O,0.38667226,305.3,2.08,3.0,4.0,4.0,104.3,0.0,True,False,True
3393,L6020,COc1cc([C@H]2Oc3ccc4ccc(=O)oc4c3O[C@@H]2CO)ccc1O,0.2234594,356.3,2.38,2.0,7.0,3.0,98.4,0.0,True,False,True
11500,L6020,CCC(/C=C/C(C)C1CC[C@H]2C3=CC[C@H]4CC(O)CC[C@]4(C)C3CC[C@]12C)C(C)C,0.49020034,412.7,7.8,1.0,1.0,5.0,20.2,1.0,True,False,True
3543,L6020,C=C1CCC[C@]2(C)C[C@]3(OC)OC(=O)C(C)=C3C[C@@H]12,0.50014275,262.3,3.36,0.0,3.0,1.0,35.5,0.0,True,False,True
4336,D7800,COc1ccc(CCNC(=O)CCc2c(C)c3cc4c(C)coc4cc3oc2=O)cc1,0.3674391,419.5,4.46,1.0,5.0,7.0,81.7,0.0,True,False,True
3161,L6020,C=C1COC(=O)[C@]12C[C@]1(C)[C@@H](C)CC[C@H](OC(=O)/C(C)=C\C)[C@@H]1[C@H]2OC(C)=O,0.33346283,390.5,3.35,0.0,6.0,3.0,78.9,0.0,True,False,True
5197,D7800,O=C(C(=O)N1CCc2ccccc2C1)c1cn(CC(=O)N2CCCC2)c2ccccc12,0.42387176,415.5,3.03,0.0,4.0,4.0,62.6,0.0,True,False,True
10681,L6020,COc1ccccc1NC(=O)CC(C)=O,0.33868462,207.2,1.61,1.0,3.0,4.0,55.4,0.0,True,False,True
14128,L6020,COC(=O)CCC(=O)OC[C@]1(C)CCC[C@@]2(C)C3CC[C@]4(C)C=CC3(CCC21)C4,0.39707184,402.6,5.45,0.0,4.0,5.0,52.6,1.0,True,False,True
13725,L6020,Cc1cc(C(O)C(O)CO)c(Cc2ccc(NC3CC(=O)OC3/C=C/C(C)O)cc2)o1,0.5004337,431.5,1.6,5.0,8.0,9.0,132.4,0.0,True,False,True
2106,D7800,CSc1cccc(NC(=S)N(Cc2ccccc2)Cc2ccccn2)c1,0.45676136,379.6,5.2,1.0,3.0,6.0,28.2,1.0,True,False,True
