idx,name,docking_score,model_score,mw,smiles
3766,D7800,-9.041,0.7785948,488.6,CC1=C(c2ccc(C)c(C)c2)S(=O)(=O)N(Cc2ccc(C(=O)NCc3ccc(C)cc3)cc2)C1=O
15379,L6020,-8.892,0.7631172,456.5,C=C1C2(C)CC3C4(C)OC(C5OC56C4=CC(=O)OC6(C)C)C3(C)C13C(=O)OC(C)C3(O)C2=O
2732,D7800,-8.888,0.78221905,478.6,Cc1ccc(C)c(N2CCN(C(=O)c3ccc(Nc4nc5ccccc5n5nnnc45)cc3)CC2)c1
5700,D7800,-8.826,0.83156484,494.0,Cc1ccc(Cl)cc1Nc1nn2c(=O)c3ccc(C(=O)NCc4ccc(F)cc4)cc3nc2s1
6218,D7800,-8.793,0.81068677,487.7,Cc1ccc(C)c(N2CCN(C(=O)CCc3c(C)nn(-c4ccc(N5CCCC5)nn4)c3C)CC2)c1
6116,D7800,-8.777,0.8321696,495.5,Cc1nnc(N2CCN(C(=O)Nc3cccc(C(F)(F)F)c3)CC2)c2nn(-c3ccccc3)c(C)c12
3351,D7800,-8.755,0.79096276,470.5,Cc1ccc2oc(=O)c3cnn(CC(=O)N4CCN(c5cccc(C(F)(F)F)c5)CC4)c3c2c1
6748,D7800,-8.69,0.7734964,470.6,Cc1ccc(C)c(N2CCN(C(=O)c3ccc(NC(=O)c4nsc5ccccc45)cc3)CC2)c1
6117,D7800,-8.681,0.8471029,497.9,Cc1nnc(N2CCN(C(=O)Nc3cc(F)ccc3F)CC2)c2nn(-c3ccc(Cl)cc3)c(C)c12
2432,D7800,-8.599,0.7633471,427.3,Cc1cc(NC(=O)c2cc(-c3cccc(Cl)c3)on2)nn1Cc1ccc(Cl)cc1
544,D7800,-8.57,0.7742944,495.0,Cc1ccc(-c2nnc(Nc3ccc(Cl)cc3)c3ccccc23)cc1S(=O)(=O)N1CCOCC1
5697,D7800,-8.562,0.77387327,455.5,CCc1ccc(NC(=O)c2ccc3c(=O)n4nc(Nc5ccccc5C)sc4nc3c2)cc1
6115,D7800,-8.476,0.8166874,476.0,Cc1ccc(NC(=O)N2CCN(c3nnc(C)c4c(C)n(-c5ccccc5)nc34)CC2)cc1Cl
6102,D7800,-8.469,0.7601646,478.5,CC1=C(c2ccc(C)cc2)S(=O)(=O)N(Cc2ccc(C(=O)Nc3ccc(F)cc3C)cc2)C1=O
7096,D7800,-8.39,0.80768186,450.5,Cc1ccc(CNC(=O)c2cc(-c3ccc(C)cc3)nc3n[nH]c(-c4ccc(F)cc4)c23)cc1
3549,D7800,-8.383,0.7890161,471.7,Cc1ccc(CN2CCSc3ccc(C(=O)N4CCN(c5cc(C)ccc5C)CC4)cc32)cc1
3188,D7800,-8.374,0.76605624,436.5,Cc1ccc(C)c(NC(=O)c2ccc3c(c2)N(Cc2ccc(F)cc2)C(=O)CS3=O)c1
2532,D7800,-8.356,0.78797185,487.6,Cc1ccc(NC(=O)Cn2c(=O)n(CCc3ccccc3)c(=O)c3c4c(sc32)CCCC4)cc1C
5614,D7800,-8.339,0.7829407,480.6,Cc1cccc(-n2c(=O)c3c(c4cc(C)ccc4n3C)n(CC(=O)Nc3ccc(C)c(C)c3)c2=O)c1
3854,D7800,-8.306,0.8095343,499.0,Cc1cc(C)c(Cn2c3ccccc3c3cnn(CC(=O)NCc4ccc(Cl)cc4)c(=O)c32)c(C)c1
3956,D7800,-8.272,0.77079946,472.6,Cc1ccc(CSc2nnc(-n3c(=O)c(C#N)cc4c(=O)n5cc(C)ccc5nc43)s2)cc1
6754,D7800,-8.235,0.77974546,474.6,Cc1ccc(C(=O)N2CCN(c3ccc(F)cc3)CC2)cc1NC(=O)c1nsc2ccccc12
6046,D7800,-8.233,0.80690944,489.0,Cc1cc(C)c(NC(=O)CSc2ncc3c(n2)-c2cc(Cl)ccc2N(C)S3(=O)=O)c(C)c1
543,D7800,-8.227,0.7804212,488.6,Cc1ccc(Nc2nnc(-c3ccc(C)c(S(=O)(=O)N4CCOCC4)c3)c3ccccc23)c(C)c1
6229,D7800,-8.216,0.7813861,464.6,CCOc1ccc(CNC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)cc1
5743,D7800,-8.188,0.78050524,408.9,Cc1ccc(NC(=O)c2ccc(CN3C(=O)CCn4nc(C)cc43)cc2)c(Cl)c1
5738,D7800,-8.179,0.7723267,464.0,Cc1ccc(-n2nc3c(=O)n(CCCC(=O)NCc4ccc(Cl)cc4)nc(C)c3c2C)cc1
1992,D7800,-8.153,0.83223003,495.5,Cc1ccc(-c2cc(C(F)(F)F)n3nc(C(=O)Nc4sc5c(c4C#N)CCC(C)C5)cc3n2)cc1
267,L6020,-8.152,0.76984304,474.5,C=C1C2(C)OC(=O)C34OC2C2=C(CO)C5(CCC2(C)C13C(=O)OC4C)C(O)CC(=O)OC5(C)C
3675,D7800,-8.14,0.76722467,473.5,Cc1cc(C)cc(-n2c(SCC(=O)Nc3ccccc3F)nc3c(oc4ccccc43)c2=O)c1
