idx,name,smiles,model_score,mw,docking_score,status
5921,D7800,CCn1nnc2cc(C(=O)Nc3ccc(Br)cc3F)ccc21,0.79549825,363.2,-6.916,ok
1440,D7800,Cc1cc(C)c2nc(NC3=NCN(CCN4CCOCC4)CN3)nc(C)c2c1,0.7872504,383.5,-7.093,ok
5673,D7800,CCNc1nc(Nc2ccc(C)c(Cl)c2)c2cnn(C)c2n1,0.78587395,316.8,-6.376,ok
6117,D7800,Cc1nnc(N2CCN(C(=O)Nc3cc(F)ccc3F)CC2)c2nn(-c3ccc(Cl)cc3)c(C)c12,0.78493744,497.9,-8.673,ok
1523,D7800,CC(C)c1ccc(Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,0.7842164,384.5,-7.179,ok
5922,D7800,CCn1nnc2cc(C(=O)Nc3ccc(C)cc3Br)ccc21,0.7811941,359.2,-7.14,ok
4124,D7800,Cc1cc(C)n(-c2nc(N(C)C)nc(N3CCOCC3)n2)n1,0.78067845,303.4,-6.223,ok
9494,L6020,CCNc1nc(Cl)nc(NCC)n1,0.77552307,201.7,-4.569,ok
6225,D7800,Cc1cc(C)cc(NC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)c1,0.76695114,434.5,-7.84,ok
1555,D7800,CCOc1ccc(Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,0.76435655,386.5,-6.525,ok
1735,D7800,c1cc(C2CCCCC2)ccc1Oc1nc(N2CCOCC2)nc(N2CCOCC2)n1,0.76281977,425.5,-8.065,ok
7479,L6020,CN(C)c1nc(N)nc(N)n1,0.76235974,154.2,-4.482,ok
5676,D7800,Cn1ncc2c(Nc3ccc(F)cc3)nc(N3CCN(c4ccc(F)cc4)CC3)nc21,0.7583757,421.5,-7.368,ok
6778,D7800,Cc1nn(-c2ccc3nnc(C)n3n2)c(C)c1CCC(=O)Nc1ccc(OC(F)(F)F)cc1,0.7551713,459.4,-7.714,ok
7318,D7800,Cc1ccc(-n2ncc3c(NCCCN4CCOCC4)ncnc32)c(C)c1,0.7542829,366.5,-6.672,ok
6116,D7800,Cc1nnc(N2CCN(C(=O)Nc3cccc(C(F)(F)F)c3)CC2)c2nn(-c3ccccc3)c(C)c12,0.75310075,495.5,-8.803,ok
6853,D7800,CC1=C(C(=O)Nc2cccnc2)C(c2cccnc2)n2ncnc2N1,0.75295895,333.4,-6.643,ok
5918,D7800,CCn1nnc2cc(C(=O)Nc3cccc(Cl)c3)ccc21,0.75205207,300.7,-6.731,ok
5915,D7800,Cn1nnc2cc(C(=O)Nc3ccc(Cl)cc3)ccc21,0.7493073,286.7,-7.214,ok
6227,D7800,Cc1cccc(NC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)c1,0.74918497,420.5,-8.051,ok
365,D7800,CC1=C(C(=O)Nc2ccccn2)C(c2ccc(Br)cc2)NC(=S)N1,0.7489777,403.3,-6.741,ok
