idx,name,smiles,model_score,mw,docking_score,status
2616,L6020,COc1cccc2oc3c(O)cccc3c(=O)c12,0.28671452,242.2,-6.418,ok
10641,L6020,COc1cc(C=O)cc(OC)c1OC,0.23342046,196.2,-4.543,ok
1354,L6020,C=CC(C)(O)C/C=C/C(C)(C)O,0.39071977,170.3,-5.007,ok
7340,D7800,Cc1ccc(-n2ncc3c(NC(C)c4ccccc4)ncnc32)cc1,0.6717986,329.4,-7.59,ok
1776,D7800,Cc1cccc(OCC(=O)NCc2cc(C)nc3ccccc23)c1,0.4156383,320.4,-7.119,ok
2134,D7800,Cc1cccc(C(=O)Oc2c(Sc3ccccc3)c(C)nn2C(C)(C)C)c1,0.42296562,380.5,-7.131,ok
7370,L6020,COC(=O)c1ccc(-c2ccc(C(=O)OC)cn2)nc1,0.37928593,272.3,-5.792,ok
4394,D7800,COc1ccc(C(CNC(=O)COc2ccc([N+](=O)[O-])cc2)N2CCCCC2)cc1,0.40557328,413.5,-7.35,ok
4368,L6020,c1ccc2c(c1)C[C@H]1NCCc3cc4c(c-2c31)OCO4,0.45496267,265.3,-7.387,ok
5628,L6020,C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(O)[C@@H]12,0.50396097,248.3,-4.89,ok
3981,L6020,COC(=O)c1c(O)c2ccccc2c2occc12,0.27344966,242.2,-6.687,ok
12087,L6020,CC1(C)CCC[C@@]2(C)[C@H]1[C@H](O)C=C(CO)[C@]2(O)CO,0.36793205,270.4,-5.367,ok
7534,D7800,CCCCNC(=O)c1ccc(N2CCOCC2)c(NS(=O)(=O)c2ccc(OC)cc2)c1,0.44744277,447.6,-6.511,ok
4236,L6020,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]1CC(=O)[C@]1(C)[C@@H]3CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)[C@H]3O[C@@]321,0.2731161,470.5,-8.454,ok
13876,L6020,C=C(Oc1cccc(C(=O)O)c1)C(=O)OC,0.27739784,222.2,-5.356,ok
1348,D7800,Cn1c(=O)c2c(nc(NCc3cccnc3)n2Cc2ccc(Cl)cc2)n(C)c1=O,0.62387806,410.9,-6.689,ok
