idx,batch,tier,prot_rmsd_mean,lig_rmsd_mean,lig_rmsd_last10ns_mean,prot_rmsf_mean,hbond_avg_total,dE_vdw,dE_ele,dG_gas,dG_polar_GBELE,dG_TOT_noent,TSTOT,dG_bind_ent
2532,batch1,Dissociated,1.6744939899999998,12.26023057,20.5185298,0.9893853333333332,10.3334,,,,,,,
3188,batch2,Dissociated,1.52581847,24.52426689,30.5264686,0.955215,8.4494,,,,,,,
5743,batch2,Dissociated,1.56987332,10.95182209,12.8861188,0.968626,13.845,,,,,,,
6117,batch1,Dissociated,1.96710035,20.16437391,15.8992373,1.062783,7.988099999999999,,,,,,,
543,batch2,Marginal,1.4232746500000002,5.4896945,6.704609400000001,0.951826,18.1971,-42.86,-26.89,-69.75,16.05,-30.42,-20.42,-10.0
5738,batch2,Marginal,1.8829685,7.098334229999999,10.0272135,0.972369,10.1303,-33.85,-18.49,-52.34,15.41,-21.07,-19.78,-1.2899999999999991
6046,batch1,Marginal,1.67403354,4.55424123,13.9304561,1.0770173333333335,10.7107,-32.66,-20.68,-53.34,12.14,-23.26,-15.79,-7.470000000000002
6218,batch1,Marginal,1.5143230499999998,4.973642600000001,9.3492463,0.965985,16.8351,-43.5,-14.5,-58.0,16.12,-30.97,-19.13,-11.84
6754,batch2,Marginal,1.5273517087425927,5.536057902427145,10.976378797725427,0.969027,11.895689585193605,-44.41,-8.34,-52.75,20.27,-28.02,-26.32,-1.6999999999999993
2732,batch1,Stable,1.60623952,3.76772631,3.7638602,0.9904633333333334,11.9861,-43.44,-16.24,-59.67,14.56,-32.01,-18.68,-13.329999999999998
5614,batch1,Stable,1.5581073100000002,1.6185826099999998,1.5154884,0.979493,18.1976,-35.25,-36.05,-71.3,7.77,-30.71,-19.25,-11.46
6115,batch2,Stable,1.46923244,3.01821714,4.9176078,0.8868710000000001,14.2043,-37.57,-19.76,-57.34,13.53,-27.35,-22.61,-4.740000000000002
